,title,stats,type,highlighted,home,away,match_id
0,Ball possession,"[55, 45]",graph,home,55,45,1894343
1,Total shots,"[11, 13]",text,away,11,13,1894343
2,Big chances,"[0, 0]",text,equal,0,0,1894343
3,Big chances missed,"[0, 0]",text,equal,0,0,1894343
4,Accurate passes,"['421 (82%)', '328 (79%)']",text,home,421 (82%),328 (79%),1894343
5,Fouls committed,"[9, 19]",text,home,9,19,1894343
6,Offsides,"[1, 1]",text,equal,1,1,1894343
7,Corners,"[3, 3]",text,equal,3,3,1894343
0,Shots,"[None, None]",title,equal,,,1894343
1,Total shots,"[11, 13]",text,away,11.0,13.0,1894343
2,Shots off target,"[6, 5]",text,home,6.0,5.0,1894343
3,Shots on target,"[3, 5]",text,away,3.0,5.0,1894343
4,Blocked shots,"[2, 3]",text,away,2.0,3.0,1894343
5,Hit woodwork,"[0, 0]",text,equal,0.0,0.0,1894343
6,Shots inside box,"[7, 4]",text,home,7.0,4.0,1894343
7,Shots outside box,"[4, 9]",text,away,4.0,9.0,1894343
0,Passes,"[None, None]",title,equal,,,1894343
1,Passes,"[512, 417]",text,home,512,417,1894343
2,Accurate passes,"['421 (82%)', '328 (79%)']",text,home,421 (82%),328 (79%),1894343
3,Own half,"[0, 0]",text,equal,0,0,1894343
4,Opposition half,"[185, 209]",text,away,185,209,1894343
5,Accurate long balls,"['43 (63%)', '18 (33%)']",text,home,43 (63%),18 (33%),1894343
6,Accurate crosses,"['0 (0%)', '0 (0%)']",text,equal,0 (0%),0 (0%),1894343
7,Throws,"[12, 15]",text,away,12,15,1894343
0,Defence,"[None, None]",title,equal,,,1894343
1,Tackles won,"['12 (92%)', '12 (92%)']",text,equal,12 (92%),12 (92%),1894343
2,Interceptions,"[14, 21]",text,away,14,21,1894343
3,Blocks,"[0, 0]",text,equal,0,0,1894343
4,Clearances,"[16, 22]",text,away,16,22,1894343
5,Keeper saves,"[4, 1]",text,home,4,1,1894343
0,Duels,"[None, None]",title,equal,,,1894343
1,Duels won,"[50, 31]",text,home,50,31,1894343
2,Ground duels won,"['36 (61%)', '23 (39%)']",text,home,36 (61%),23 (39%),1894343
3,Aerial duels won,"['14 (64%)', '8 (36%)']",text,home,14 (64%),8 (36%),1894343
4,Successful dribbles,"['4 (44%)', '3 (50%)']",text,home,4 (44%),3 (50%),1894343
0,Discipline,"[None, None]",title,equal,,,1894343
1,Yellow cards,"[1, 3]",text,away,1.0,3.0,1894343
2,Red cards,"[0, 0]",text,equal,0.0,0.0,1894343
0,Ball possession,"[62, 38]",graph,home,62,38,1894401
1,Total shots,"[13, 15]",text,away,13,15,1894401
2,Big chances,"[3, 0]",text,home,3,0,1894401
3,Big chances missed,"[1, 0]",text,away,1,0,1894401
4,Accurate passes,"['426 (86%)', '238 (79%)']",text,home,426 (86%),238 (79%),1894401
5,Fouls committed,"[23, 14]",text,away,23,14,1894401
6,Offsides,"[6, 3]",text,away,6,3,1894401
7,Corners,"[3, 2]",text,home,3,2,1894401
0,Shots,"[None, None]",title,equal,,,1894401
1,Total shots,"[13, 15]",text,away,13.0,15.0,1894401
2,Shots off target,"[6, 8]",text,away,6.0,8.0,1894401
3,Shots on target,"[6, 4]",text,home,6.0,4.0,1894401
4,Blocked shots,"[1, 3]",text,away,1.0,3.0,1894401
5,Hit woodwork,"[0, 0]",text,equal,0.0,0.0,1894401
6,Shots inside box,"[10, 9]",text,home,10.0,9.0,1894401
7,Shots outside box,"[3, 6]",text,away,3.0,6.0,1894401
0,Passes,"[None, None]",title,equal,,,1894401
1,Passes,"[497, 302]",text,home,497,302,1894401
2,Accurate passes,"['426 (86%)', '238 (79%)']",text,home,426 (86%),238 (79%),1894401
3,Own half,"[282, 124]",text,home,282,124,1894401
4,Opposition half,"[144, 114]",text,home,144,114,1894401
5,Accurate long balls,"['35 (61%)', '37 (55%)']",text,away,35 (61%),37 (55%),1894401
6,Accurate crosses,"['8 (40%)', '6 (40%)']",text,home,8 (40%),6 (40%),1894401
7,Throws,"[11, 12]",text,away,11,12,1894401
0,Defence,"[None, None]",title,equal,,,1894401
1,Tackles won,"['14 (100%)', '12 (86%)']",text,home,14 (100%),12 (86%),1894401
2,Interceptions,"[16, 19]",text,away,16,19,1894401
3,Blocks,"[0, 0]",text,equal,0,0,1894401
4,Clearances,"[19, 9]",text,home,19,9,1894401
5,Keeper saves,"[3, 3]",text,equal,3,3,1894401
0,Duels,"[None, None]",title,equal,,,1894401
1,Duels won,"[40, 53]",text,away,40,53,1894401
2,Ground duels won,"['26 (41%)', '38 (59%)']",text,away,26 (41%),38 (59%),1894401
3,Aerial duels won,"['14 (48%)', '15 (52%)']",text,away,14 (48%),15 (52%),1894401
4,Successful dribbles,"['1 (25%)', '4 (29%)']",text,away,1 (25%),4 (29%),1894401
0,Discipline,"[None, None]",title,equal,,,1894401
1,Yellow cards,"[2, 1]",text,home,2.0,1.0,1894401
2,Red cards,"[0, 1]",text,away,0.0,1.0,1894401
0,Ball possession,"[63, 37]",graph,home,63,37,2157283
1,Total shots,"[11, 12]",text,away,11,12,2157283
2,Big chances,"[0, 0]",text,equal,0,0,2157283
3,Big chances missed,"[0, 0]",text,equal,0,0,2157283
4,Accurate passes,"['398 (72%)', '191 (58%)']",text,home,398 (72%),191 (58%),2157283
5,Fouls committed,"[12, 12]",text,equal,12,12,2157283
6,Offsides,"[3, 5]",text,home,3,5,2157283
7,Corners,"[2, 4]",text,away,2,4,2157283
0,Shots,"[None, None]",title,equal,,,2157283
1,Total shots,"[11, 12]",text,away,11.0,12.0,2157283
2,Shots off target,"[9, 5]",text,home,9.0,5.0,2157283
3,Shots on target,"[1, 5]",text,away,1.0,5.0,2157283
4,Blocked shots,"[1, 2]",text,away,1.0,2.0,2157283
5,Hit woodwork,"[0, 1]",text,away,0.0,1.0,2157283
6,Shots inside box,"[9, 6]",text,home,9.0,6.0,2157283
7,Shots outside box,"[2, 6]",text,away,2.0,6.0,2157283
0,Passes,"[None, None]",title,equal,,,2157283
1,Passes,"[549, 329]",text,home,549,329,2157283
2,Accurate passes,"['398 (72%)', '191 (58%)']",text,home,398 (72%),191 (58%),2157283
3,Own half,"[0, 0]",text,equal,0,0,2157283
4,Opposition half,"[248, 88]",text,home,248,88,2157283
5,Accurate long balls,"['24 (36%)', '23 (24%)']",text,home,24 (36%),23 (24%),2157283
6,Accurate crosses,"['0 (0%)', '0 (0%)']",text,equal,0 (0%),0 (0%),2157283
7,Throws,"[20, 10]",text,home,20,10,2157283
0,Defence,"[None, None]",title,equal,,,2157283
1,Tackles won,"['12 (80%)', '17 (71%)']",text,away,12 (80%),17 (71%),2157283
2,Interceptions,"[18, 33]",text,away,18,33,2157283
3,Blocks,"[0, 0]",text,equal,0,0,2157283
4,Clearances,"[12, 20]",text,away,12,20,2157283
5,Keeper saves,"[3, 1]",text,home,3,1,2157283
0,Duels,"[None, None]",title,equal,,,2157283
1,Duels won,"[59, 61]",text,away,59,61,2157283
2,Ground duels won,"['35 (48%)', '38 (52%)']",text,away,35 (48%),38 (52%),2157283
3,Aerial duels won,"['24 (51%)', '23 (49%)']",text,home,24 (51%),23 (49%),2157283
4,Successful dribbles,"['10 (77%)', '4 (50%)']",text,home,10 (77%),4 (50%),2157283
0,Discipline,"[None, None]",title,equal,,,2157283
1,Yellow cards,"[2, 2]",text,equal,2.0,2.0,2157283
2,Red cards,"[0, 0]",text,equal,0.0,0.0,2157283
0,Ball possession,"[39, 61]",graph,away,39,61,2157285
1,Total shots,"[17, 20]",text,away,17,20,2157285
2,Big chances,"[0, 0]",text,equal,0,0,2157285
3,Big chances missed,"[0, 0]",text,equal,0,0,2157285
4,Accurate passes,"['200 (66%)', '392 (78%)']",text,away,200 (66%),392 (78%),2157285
5,Fouls committed,"[12, 9]",text,away,12,9,2157285
6,Offsides,"[7, 1]",text,away,7,1,2157285
7,Corners,"[12, 1]",text,home,12,1,2157285
0,Shots,"[None, None]",title,equal,,,2157285
1,Total shots,"[17, 20]",text,away,17.0,20.0,2157285
2,Shots off target,"[6, 4]",text,home,6.0,4.0,2157285
3,Shots on target,"[9, 10]",text,away,9.0,10.0,2157285
4,Blocked shots,"[2, 6]",text,away,2.0,6.0,2157285
5,Hit woodwork,"[0, 0]",text,equal,0.0,0.0,2157285
6,Shots inside box,"[15, 10]",text,home,15.0,10.0,2157285
7,Shots outside box,"[2, 10]",text,away,2.0,10.0,2157285
0,Passes,"[None, None]",title,equal,,,2157285
1,Passes,"[304, 500]",text,away,304,500,2157285
2,Accurate passes,"['200 (66%)', '392 (78%)']",text,away,200 (66%),392 (78%),2157285
3,Own half,"[0, 0]",text,equal,0,0,2157285
4,Opposition half,"[91, 221]",text,away,91,221,2157285
5,Accurate long balls,"['29 (36%)', '27 (47%)']",text,home,29 (36%),27 (47%),2157285
6,Accurate crosses,"['0 (0%)', '0 (0%)']",text,equal,0 (0%),0 (0%),2157285
7,Throws,"[20, 20]",text,equal,20,20,2157285
0,Defence,"[None, None]",title,equal,,,2157285
1,Tackles won,"['18 (75%)', '11 (58%)']",text,home,18 (75%),11 (58%),2157285
2,Interceptions,"[22, 15]",text,home,22,15,2157285
3,Blocks,"[0, 0]",text,equal,0,0,2157285
4,Clearances,"[10, 13]",text,away,10,13,2157285
5,Keeper saves,"[6, 6]",text,equal,6,6,2157285
0,Duels,"[None, None]",title,equal,,,2157285
1,Duels won,"[55, 45]",text,home,55,45,2157285
2,Ground duels won,"['47 (57%)', '36 (43%)']",text,home,47 (57%),36 (43%),2157285
3,Aerial duels won,"['8 (47%)', '9 (53%)']",text,away,8 (47%),9 (53%),2157285
4,Successful dribbles,"['15 (54%)', '8 (53%)']",text,home,15 (54%),8 (53%),2157285
0,Discipline,"[None, None]",title,equal,,,2157285
1,Yellow cards,"[2, 2]",text,equal,2.0,2.0,2157285
2,Red cards,"[0, 0]",text,equal,0.0,0.0,2157285
0,Ball possession,"[57, 43]",graph,home,57,43,2157299
1,Total shots,"[15, 10]",text,home,15,10,2157299
2,Big chances,"[0, 0]",text,equal,0,0,2157299
3,Big chances missed,"[0, 0]",text,equal,0,0,2157299
4,Accurate passes,"['357 (75%)', '243 (68%)']",text,home,357 (75%),243 (68%),2157299
5,Fouls committed,"[15, 10]",text,away,15,10,2157299
6,Offsides,"[3, 6]",text,home,3,6,2157299
7,Corners,"[4, 1]",text,home,4,1,2157299
0,Shots,"[None, None]",title,equal,,,2157299
1,Total shots,"[15, 10]",text,home,15.0,10.0,2157299
2,Shots off target,"[5, 4]",text,home,5.0,4.0,2157299
3,Shots on target,"[7, 4]",text,home,7.0,4.0,2157299
4,Blocked shots,"[3, 2]",text,home,3.0,2.0,2157299
5,Hit woodwork,"[0, 0]",text,equal,0.0,0.0,2157299
6,Shots inside box,"[11, 4]",text,home,11.0,4.0,2157299
7,Shots outside box,"[4, 6]",text,away,4.0,6.0,2157299
0,Passes,"[None, None]",title,equal,,,2157299
1,Passes,"[479, 357]",text,home,479,357,2157299
2,Accurate passes,"['357 (75%)', '243 (68%)']",text,home,357 (75%),243 (68%),2157299
3,Own half,"[0, 0]",text,equal,0,0,2157299
4,Opposition half,"[148, 142]",text,home,148,142,2157299
5,Accurate long balls,"['25 (34%)', '31 (41%)']",text,away,25 (34%),31 (41%),2157299
6,Accurate crosses,"['0 (0%)', '0 (0%)']",text,equal,0 (0%),0 (0%),2157299
7,Throws,"[20, 24]",text,away,20,24,2157299
0,Defence,"[None, None]",title,equal,,,2157299
1,Tackles won,"['16 (67%)', '13 (65%)']",text,home,16 (67%),13 (65%),2157299
2,Interceptions,"[30, 28]",text,home,30,28,2157299
3,Blocks,"[0, 0]",text,equal,0,0,2157299
4,Clearances,"[8, 18]",text,away,8,18,2157299
5,Keeper saves,"[2, 4]",text,away,2,4,2157299
0,Duels,"[None, None]",title,equal,,,2157299
1,Duels won,"[60, 50]",text,home,60,50,2157299
2,Ground duels won,"['41 (51%)', '39 (49%)']",text,home,41 (51%),39 (49%),2157299
3,Aerial duels won,"['19 (63%)', '11 (37%)']",text,home,19 (63%),11 (37%),2157299
4,Successful dribbles,"['7 (54%)', '7 (37%)']",text,equal,7 (54%),7 (37%),2157299
0,Discipline,"[None, None]",title,equal,,,2157299
1,Yellow cards,"[2, 1]",text,home,2.0,1.0,2157299
2,Red cards,"[0, 0]",text,equal,0.0,0.0,2157299
0,Ball possession,"[66, 34]",graph,home,66,34,2161879
1,Total shots,"[15, 10]",text,home,15,10,2161879
2,Big chances,"[0, 0]",text,equal,0,0,2161879
3,Big chances missed,"[0, 0]",text,equal,0,0,2161879
4,Accurate passes,"['523 (83%)', '237 (71%)']",text,home,523 (83%),237 (71%),2161879
5,Fouls committed,"[9, 7]",text,away,9,7,2161879
6,Offsides,"[2, 4]",text,home,2,4,2161879
7,Corners,"[12, 3]",text,home,12,3,2161879
0,Shots,"[None, None]",title,equal,,,2161879
1,Total shots,"[15, 10]",text,home,15.0,10.0,2161879
2,Shots off target,"[7, 2]",text,home,7.0,2.0,2161879
3,Shots on target,"[5, 5]",text,equal,5.0,5.0,2161879
4,Blocked shots,"[3, 3]",text,equal,3.0,3.0,2161879
5,Hit woodwork,"[1, 0]",text,home,1.0,0.0,2161879
6,Shots inside box,"[8, 7]",text,home,8.0,7.0,2161879
7,Shots outside box,"[7, 3]",text,home,7.0,3.0,2161879
0,Passes,"[None, None]",title,equal,,,2161879
1,Passes,"[632, 334]",text,home,632,334,2161879
2,Accurate passes,"['523 (83%)', '237 (71%)']",text,home,523 (83%),237 (71%),2161879
3,Own half,"[0, 0]",text,equal,0,0,2161879
4,Opposition half,"[250, 116]",text,home,250,116,2161879
5,Accurate long balls,"['49 (68%)', '35 (45%)']",text,home,49 (68%),35 (45%),2161879
6,Accurate crosses,"['0 (0%)', '0 (0%)']",text,equal,0 (0%),0 (0%),2161879
7,Throws,"[27, 16]",text,home,27,16,2161879
0,Defence,"[None, None]",title,equal,,,2161879
1,Tackles won,"['20 (71%)', '30 (75%)']",text,away,20 (71%),30 (75%),2161879
2,Interceptions,"[23, 27]",text,away,23,27,2161879
3,Blocks,"[0, 0]",text,equal,0,0,2161879
4,Clearances,"[6, 30]",text,away,6,30,2161879
5,Keeper saves,"[3, 5]",text,away,3,5,2161879
0,Duels,"[None, None]",title,equal,,,2161879
1,Duels won,"[59, 61]",text,away,59,61,2161879
2,Ground duels won,"['48 (48%)', '53 (52%)']",text,away,48 (48%),53 (52%),2161879
3,Aerial duels won,"['11 (58%)', '8 (42%)']",text,home,11 (58%),8 (42%),2161879
4,Successful dribbles,"['13 (59%)', '5 (29%)']",text,home,13 (59%),5 (29%),2161879
0,Discipline,"[None, None]",title,equal,,,2161879
1,Yellow cards,"[1, 2]",text,away,1.0,2.0,2161879
2,Red cards,"[0, 0]",text,equal,0.0,0.0,2161879
0,Ball possession,"[42, 58]",graph,away,42,58,2161880
1,Total shots,"[4, 12]",text,away,4,12,2161880
2,Big chances,"[0, 0]",text,equal,0,0,2161880
3,Big chances missed,"[0, 0]",text,equal,0,0,2161880
4,Accurate passes,"['315 (76%)', '493 (84%)']",text,away,315 (76%),493 (84%),2161880
5,Fouls committed,"[13, 11]",text,away,13,11,2161880
6,Offsides,"[2, 3]",text,home,2,3,2161880
7,Corners,"[9, 6]",text,home,9,6,2161880
0,Shots,"[None, None]",title,equal,,,2161880
1,Total shots,"[4, 12]",text,away,4.0,12.0,2161880
2,Shots off target,"[1, 5]",text,away,1.0,5.0,2161880
3,Shots on target,"[1, 4]",text,away,1.0,4.0,2161880
4,Blocked shots,"[2, 3]",text,away,2.0,3.0,2161880
5,Hit woodwork,"[0, 0]",text,equal,0.0,0.0,2161880
6,Shots inside box,"[0, 0]",text,equal,0.0,0.0,2161880
7,Shots outside box,"[0, 0]",text,equal,0.0,0.0,2161880
0,Passes,"[None, None]",title,equal,,,2161880
1,Passes,"[412, 584]",text,away,412,584,2161880
2,Accurate passes,"['315 (76%)', '493 (84%)']",text,away,315 (76%),493 (84%),2161880
3,Own half,"[192, 216]",text,away,192,216,2161880
4,Opposition half,"[123, 277]",text,away,123,277,2161880
5,Accurate long balls,"['28 (45%)', '37 (65%)']",text,away,28 (45%),37 (65%),2161880
6,Accurate crosses,"['2 (12%)', '3 (14%)']",text,away,2 (12%),3 (14%),2161880
7,Throws,"[27, 20]",text,home,27,20,2161880
0,Defence,"[None, None]",title,equal,,,2161880
1,Tackles won,"['10 (53%)', '16 (57%)']",text,away,10 (53%),16 (57%),2161880
2,Interceptions,"[28, 19]",text,home,28,19,2161880
3,Blocks,"[0, 0]",text,equal,0,0,2161880
4,Clearances,"[13, 9]",text,home,13,9,2161880
5,Keeper saves,"[4, 1]",text,home,4,1,2161880
0,Duels,"[None, None]",title,equal,,,2161880
1,Duels won,"[43, 61]",text,away,43,61,2161880
2,Ground duels won,"['40 (43%)', '52 (57%)']",text,away,40 (43%),52 (57%),2161880
3,Aerial duels won,"['3 (25%)', '9 (75%)']",text,away,3 (25%),9 (75%),2161880
4,Successful dribbles,"['10 (40%)', '12 (67%)']",text,away,10 (40%),12 (67%),2161880
0,Discipline,"[None, None]",title,equal,,,2161880
1,Yellow cards,"[0, 1]",text,away,0.0,1.0,2161880
2,Red cards,"[0, 0]",text,equal,0.0,0.0,2161880
0,Ball possession,"[60, 40]",graph,home,60,40,2161883
1,Total shots,"[19, 9]",text,home,19,9,2161883
2,Big chances,"[0, 0]",text,equal,0,0,2161883
3,Big chances missed,"[0, 0]",text,equal,0,0,2161883
4,Accurate passes,"['437 (83%)', '260 (73%)']",text,home,437 (83%),260 (73%),2161883
5,Fouls committed,"[14, 20]",text,home,14,20,2161883
6,Offsides,"[2, 1]",text,away,2,1,2161883
7,Corners,"[8, 1]",text,home,8,1,2161883
0,Shots,"[None, None]",title,equal,,,2161883
1,Total shots,"[19, 9]",text,home,19.0,9.0,2161883
2,Shots off target,"[9, 2]",text,home,9.0,2.0,2161883
3,Shots on target,"[5, 7]",text,away,5.0,7.0,2161883
4,Blocked shots,"[5, 0]",text,home,5.0,0.0,2161883
5,Hit woodwork,"[0, 0]",text,equal,0.0,0.0,2161883
6,Shots inside box,"[9, 6]",text,home,9.0,6.0,2161883
7,Shots outside box,"[10, 3]",text,home,10.0,3.0,2161883
0,Passes,"[None, None]",title,equal,,,2161883
1,Passes,"[524, 356]",text,home,524,356,2161883
2,Accurate passes,"['437 (83%)', '260 (73%)']",text,home,437 (83%),260 (73%),2161883
3,Own half,"[0, 0]",text,equal,0,0,2161883
4,Opposition half,"[234, 137]",text,home,234,137,2161883
5,Accurate long balls,"['34 (58%)', '36 (48%)']",text,away,34 (58%),36 (48%),2161883
6,Accurate crosses,"['0 (0%)', '0 (0%)']",text,equal,0 (0%),0 (0%),2161883
7,Throws,"[13, 9]",text,home,13,9,2161883
0,Defence,"[None, None]",title,equal,,,2161883
1,Tackles won,"['7 (70%)', '14 (88%)']",text,away,7 (70%),14 (88%),2161883
2,Interceptions,"[20, 22]",text,away,20,22,2161883
3,Blocks,"[0, 0]",text,equal,0,0,2161883
4,Clearances,"[10, 28]",text,away,10,28,2161883
5,Keeper saves,"[5, 4]",text,home,5,4,2161883
0,Duels,"[None, None]",title,equal,,,2161883
1,Duels won,"[59, 40]",text,home,59,40,2161883
2,Ground duels won,"['40 (56%)', '31 (44%)']",text,home,40 (56%),31 (44%),2161883
3,Aerial duels won,"['19 (68%)', '9 (32%)']",text,home,19 (68%),9 (32%),2161883
4,Successful dribbles,"['10 (67%)', '3 (75%)']",text,home,10 (67%),3 (75%),2161883
0,Discipline,"[None, None]",title,equal,,,2161883
1,Yellow cards,"[3, 3]",text,equal,3.0,3.0,2161883
2,Red cards,"[0, 0]",text,equal,0.0,0.0,2161883
0,Ball possession,"[67, 33]",graph,home,67,33,2161885
1,Total shots,"[26, 7]",text,home,26,7,2161885
2,Big chances,"[0, 0]",text,equal,0,0,2161885
3,Big chances missed,"[0, 0]",text,equal,0,0,2161885
4,Accurate passes,"['334 (80%)', '129 (60%)']",text,home,334 (80%),129 (60%),2161885
5,Fouls committed,"[14, 15]",text,home,14,15,2161885
6,Offsides,"[6, 1]",text,away,6,1,2161885
7,Corners,"[17, 4]",text,home,17,4,2161885
0,Shots,"[None, None]",title,equal,,,2161885
1,Total shots,"[26, 7]",text,home,26.0,7.0,2161885
2,Shots off target,"[12, 1]",text,home,12.0,1.0,2161885
3,Shots on target,"[6, 4]",text,home,6.0,4.0,2161885
4,Blocked shots,"[8, 2]",text,home,8.0,2.0,2161885
5,Hit woodwork,"[1, 0]",text,home,1.0,0.0,2161885
6,Shots inside box,"[15, 4]",text,home,15.0,4.0,2161885
7,Shots outside box,"[11, 3]",text,home,11.0,3.0,2161885
0,Passes,"[None, None]",title,equal,,,2161885
1,Passes,"[420, 216]",text,home,420,216,2161885
2,Accurate passes,"['334 (80%)', '129 (60%)']",text,home,334 (80%),129 (60%),2161885
3,Own half,"[0, 0]",text,equal,0,0,2161885
4,Opposition half,"[241, 73]",text,home,241,73,2161885
5,Accurate long balls,"['26 (59%)', '21 (36%)']",text,home,26 (59%),21 (36%),2161885
6,Accurate crosses,"['0 (0%)', '0 (0%)']",text,equal,0 (0%),0 (0%),2161885
7,Throws,"[22, 18]",text,home,22,18,2161885
0,Defence,"[None, None]",title,equal,,,2161885
1,Tackles won,"['12 (55%)', '8 (44%)']",text,home,12 (55%),8 (44%),2161885
2,Interceptions,"[22, 27]",text,away,22,27,2161885
3,Blocks,"[0, 0]",text,equal,0,0,2161885
4,Clearances,"[4, 35]",text,away,4,35,2161885
5,Keeper saves,"[2, 4]",text,away,2,4,2161885
0,Duels,"[None, None]",title,equal,,,2161885
1,Duels won,"[53, 53]",text,equal,53,53,2161885
2,Ground duels won,"['42 (54%)', '36 (46%)']",text,home,42 (54%),36 (46%),2161885
3,Aerial duels won,"['11 (39%)', '17 (61%)']",text,away,11 (39%),17 (61%),2161885
4,Successful dribbles,"['5 (33%)', '4 (25%)']",text,home,5 (33%),4 (25%),2161885
0,Discipline,"[None, None]",title,equal,,,2161885
1,Yellow cards,"[2, 3]",text,away,2.0,3.0,2161885
2,Red cards,"[0, 2]",text,away,0.0,2.0,2161885
0,Ball possession,"[51, 49]",graph,home,51,49,2161886
1,Total shots,"[7, 12]",text,away,7,12,2161886
2,Big chances,"[0, 0]",text,equal,0,0,2161886
3,Big chances missed,"[0, 0]",text,equal,0,0,2161886
4,Accurate passes,"['317 (75%)', '309 (75%)']",text,home,317 (75%),309 (75%),2161886
5,Fouls committed,"[13, 12]",text,away,13,12,2161886
6,Offsides,"[0, 3]",text,home,0,3,2161886
7,Corners,"[3, 2]",text,home,3,2,2161886
0,Shots,"[None, None]",title,equal,,,2161886
1,Total shots,"[7, 12]",text,away,7.0,12.0,2161886
2,Shots off target,"[4, 4]",text,equal,4.0,4.0,2161886
3,Shots on target,"[3, 4]",text,away,3.0,4.0,2161886
4,Blocked shots,"[0, 4]",text,away,0.0,4.0,2161886
5,Hit woodwork,"[0, 1]",text,away,0.0,1.0,2161886
6,Shots inside box,"[5, 6]",text,away,5.0,6.0,2161886
7,Shots outside box,"[2, 6]",text,away,2.0,6.0,2161886
0,Passes,"[None, None]",title,equal,,,2161886
1,Passes,"[424, 410]",text,home,424,410,2161886
2,Accurate passes,"['317 (75%)', '309 (75%)']",text,home,317 (75%),309 (75%),2161886
3,Own half,"[0, 0]",text,equal,0,0,2161886
4,Opposition half,"[129, 145]",text,away,129,145,2161886
5,Accurate long balls,"['18 (27%)', '30 (44%)']",text,away,18 (27%),30 (44%),2161886
6,Accurate crosses,"['0 (0%)', '0 (0%)']",text,equal,0 (0%),0 (0%),2161886
7,Throws,"[21, 18]",text,home,21,18,2161886
0,Defence,"[None, None]",title,equal,,,2161886
1,Tackles won,"['11 (85%)', '12 (57%)']",text,away,11 (85%),12 (57%),2161886
2,Interceptions,"[19, 13]",text,home,19,13,2161886
3,Blocks,"[0, 0]",text,equal,0,0,2161886
4,Clearances,"[7, 11]",text,away,7,11,2161886
5,Keeper saves,"[4, 2]",text,home,4,2,2161886
0,Duels,"[None, None]",title,equal,,,2161886
1,Duels won,"[45, 49]",text,away,45,49,2161886
2,Ground duels won,"['33 (48%)', '36 (52%)']",text,away,33 (48%),36 (52%),2161886
3,Aerial duels won,"['12 (48%)', '13 (52%)']",text,away,12 (48%),13 (52%),2161886
4,Successful dribbles,"['8 (42%)', '7 (54%)']",text,home,8 (42%),7 (54%),2161886
0,Discipline,"[None, None]",title,equal,,,2161886
1,Yellow cards,"[1, 2]",text,away,1.0,2.0,2161886
2,Red cards,"[1, 0]",text,home,1.0,0.0,2161886
0,Ball possession,"[63, 37]",graph,home,63,37,2161887
1,Total shots,"[18, 11]",text,home,18,11,2161887
2,Big chances,"[0, 0]",text,equal,0,0,2161887
3,Big chances missed,"[0, 0]",text,equal,0,0,2161887
4,Accurate passes,"['404 (77%)', '205 (70%)']",text,home,404 (77%),205 (70%),2161887
5,Fouls committed,"[17, 13]",text,away,17,13,2161887
6,Offsides,"[1, 5]",text,home,1,5,2161887
7,Corners,"[4, 0]",text,home,4,0,2161887
0,Shots,"[None, None]",title,equal,,,2161887
1,Total shots,"[18, 11]",text,home,18.0,11.0,2161887
2,Shots off target,"[9, 3]",text,home,9.0,3.0,2161887
3,Shots on target,"[4, 5]",text,away,4.0,5.0,2161887
4,Blocked shots,"[5, 3]",text,home,5.0,3.0,2161887
5,Hit woodwork,"[1, 0]",text,home,1.0,0.0,2161887
6,Shots inside box,"[11, 6]",text,home,11.0,6.0,2161887
7,Shots outside box,"[7, 5]",text,home,7.0,5.0,2161887
0,Passes,"[None, None]",title,equal,,,2161887
1,Passes,"[524, 293]",text,home,524,293,2161887
2,Accurate passes,"['404 (77%)', '205 (70%)']",text,home,404 (77%),205 (70%),2161887
3,Own half,"[0, 0]",text,equal,0,0,2161887
4,Opposition half,"[169, 133]",text,home,169,133,2161887
5,Accurate long balls,"['38 (49%)', '35 (43%)']",text,home,38 (49%),35 (43%),2161887
6,Accurate crosses,"['0 (0%)', '0 (0%)']",text,equal,0 (0%),0 (0%),2161887
7,Throws,"[24, 18]",text,home,24,18,2161887
0,Defence,"[None, None]",title,equal,,,2161887
1,Tackles won,"['21 (66%)', '19 (66%)']",text,home,21 (66%),19 (66%),2161887
2,Interceptions,"[19, 27]",text,away,19,27,2161887
3,Blocks,"[0, 0]",text,equal,0,0,2161887
4,Clearances,"[16, 20]",text,away,16,20,2161887
5,Keeper saves,"[3, 3]",text,equal,3,3,2161887
0,Duels,"[None, None]",title,equal,,,2161887
1,Duels won,"[65, 68]",text,away,65,68,2161887
2,Ground duels won,"['53 (49%)', '56 (51%)']",text,away,53 (49%),56 (51%),2161887
3,Aerial duels won,"['12 (50%)', '12 (50%)']",text,equal,12 (50%),12 (50%),2161887
4,Successful dribbles,"['8 (42%)', '12 (55%)']",text,away,8 (42%),12 (55%),2161887
0,Discipline,"[None, None]",title,equal,,,2161887
1,Yellow cards,"[4, 1]",text,home,4.0,1.0,2161887
2,Red cards,"[0, 1]",text,away,0.0,1.0,2161887
0,Ball possession,"[48, 52]",graph,away,48,52,2161890
1,Total shots,"[10, 15]",text,away,10,15,2161890
2,Big chances,"[0, 0]",text,equal,0,0,2161890
3,Big chances missed,"[0, 0]",text,equal,0,0,2161890
4,Accurate passes,"['256 (65%)', '297 (69%)']",text,away,256 (65%),297 (69%),2161890
5,Fouls committed,"[18, 14]",text,away,18,14,2161890
6,Offsides,"[1, 2]",text,home,1,2,2161890
7,Corners,"[6, 9]",text,away,6,9,2161890
0,Shots,"[None, None]",title,equal,,,2161890
1,Total shots,"[10, 15]",text,away,10.0,15.0,2161890
2,Shots off target,"[2, 4]",text,away,2.0,4.0,2161890
3,Shots on target,"[5, 5]",text,equal,5.0,5.0,2161890
